t,S,I,R
17.429169167362396,173,98,229
17.46305582633485,173,97,230
17.464996598490284,172,98,230
17.472634236094617,172,97,231
17.58210587588827,172,96,232
17.632053634033475,172,95,233
17.649544271902247,171,96,233
17.683698549303006,170,97,233
17.692521968864433,169,98,233
17.694099242272998,169,97,234
17.762838123930376,169,96,235
17.778735747467756,168,97,235
17.798226242689957,167,98,235
17.85189139912592,166,99,235
17.906865947074724,166,98,236
17.91465959394598,166,97,237
17.943710750274118,165,98,237
17.948737877518592,164,99,237
18.065676941653635,163,100,237
18.077517740301055,162,101,237
18.140189696007653,161,102,237
18.165188960113532,161,101,238
18.170944874189242,161,100,239
18.173049842659633,160,101,239
18.241063702187613,159,102,239
18.267788021800996,158,103,239
18.3205689939625,158,102,240
18.350656749810753,158,101,241
18.44751450884076,158,100,242
18.482765288732562,158,99,243
18.586461901923045,158,98,244
18.60612676509983,157,99,244
18.637194261870064,157,98,245
18.647045660869484,157,97,246
18.67894952611761,156,98,246
18.684809955964827,155,99,246
18.701399641466647,154,100,246
18.742291254547258,153,101,246
18.78947384841483,153,100,247
18.795311207877628,153,99,248
18.79884039301737,153,98,249
18.873957489051996,153,97,250
18.92782862734791,152,98,250
18.929272131762442,152,97,251
18.93368328987969,151,98,251
18.959541763966545,151,97,252
18.972109242983606,151,96,253
19.102586206549848,151,95,254
19.122844753414785,151,94,255
19.18985016482035,151,93,256
19.253507125329893,151,92,257
19.255938178107552,151,91,258
19.28130900782533,150,92,258
19.28573388483286,150,91,259
19.30561502660037,150,90,260
19.307541182293125,149,91,260
19.32036604289005,148,92,260
19.338330122310943,147,93,260
19.366483189845347,147,92,261
19.379186393300504,146,93,261
19.4288288452226,146,92,262
19.492819643888186,145,93,262
19.51823092947501,144,94,262
19.549378883703348,143,95,262
19.558814752425896,143,94,263
19.586849438846833,143,93,264
19.59731664725023,143,92,265
19.61124312320178,142,93,265
19.614346355756897,142,92,266
19.708841897109377,142,91,267
19.722569958345666,141,92,267
19.827890054368172,140,93,267
19.878379550269546,139,94,267
19.880929260767992,139,93,268
19.947937795858003,139,92,269
19.961704954571605,139,91,270
20.034251737348114,138,92,270
20.104926663109076,138,91,271
20.115608313983525,138,90,272
20.140957063417893,138,89,273
20.152953603511335,138,88,274
20.276047471578032,138,87,275
20.285312359821646,138,86,276
20.294869935080897,138,85,277
20.314038339498314,137,86,277
20.36060440116387,136,87,277
20.375526732977313,136,86,278
20.52295907388389,136,85,279
20.54410882264719,136,84,280
20.549912570399172,136,83,281
20.561563540829837,135,84,281
20.571242392012774,134,85,281
20.61867573714472,133,86,281
20.6390789814003,132,87,281
20.6552373821717,132,86,282
20.65913904967092,131,87,282
20.671288878593934,130,88,282
20.698353769811565,130,87,283
20.739413862966877,130,86,284
20.805485575613368,130,85,285
20.81625404898054,129,86,285
20.82564189846111,129,85,286
20.867346378330705,129,84,287
20.87284409828693,128,85,287
20.930087958096145,128,84,288
20.93983571970238,128,83,289
20.9952684631452,128,82,290
21.049144135233433,128,81,291
21.08041178662071,128,80,292
21.104108439727042,128,79,293
21.12798291651343,127,80,293
21.227885534796982,127,79,294
21.34915914174177,127,78,295
21.40747457642465,126,79,295
21.47912175993949,126,78,296
21.60197828094438,126,77,297
21.63716352270475,126,76,298
21.665060473816,126,75,299
21.76946589590336,126,74,300
21.85595318107368,125,75,300
21.907658231925904,124,76,300
21.914589516696378,124,75,301
22.066931262596388,124,74,302
22.07642938852328,124,73,303
22.093285799740013,124,72,304
22.172395708603013,124,71,305
22.182646163121117,124,70,306
22.259925920290158,124,69,307
22.271923490126067,123,70,307
22.29415894812357,122,71,307
22.322917599163283,121,72,307
22.32761814233723,121,71,308
22.36003928664209,121,70,309
22.47633090218631,120,71,309
22.47988975075488,119,72,309
22.545960097832424,118,73,309
22.608151605148727,117,74,309
22.628572949152023,117,73,310
22.659423139837962,116,74,310
22.727603636128215,115,75,310
22.791169419224392,115,74,311
22.809056192189463,115,73,312
22.853443174298633,115,72,313
22.857378314447477,115,71,314
23.000254197942507,115,70,315
23.131850739702042,115,69,316
23.203685583297904,115,68,317
23.212105753348443,114,69,317
23.255663936837692,113,70,317
23.25665184665636,113,69,318
23.276732065550185,112,70,318
23.28473694003516,112,69,319
23.367164874288463,112,68,320
